branch_id,order date,member_code,menu_id
16,2023-01-01,OKJ055,27
1,2023-01-01,OKJ009,3
17,2023-01-01,OKJ012,38
17,2023-01-01,OKJ067,19
2,2023-01-01,OKJ018,15
25,2023-01-01,OKJ004,34
4,2023-01-01,OKJ059,30
22,2023-01-01,OKJ065,27
16,2023-01-01,OKJ055,28
3,2023-01-01,OKJ066,29
2,2023-01-01,OKJ045,15
2,2023-01-01,OKJ007,28
3,2023-01-01,OKJ023,7
14,2023-01-01,OKJ027,9
15,2023-01-01,OKJ073,16
2,2023-01-01,OKJ047,31
3,2023-01-01,OKJ085,22
24,2023-01-01,OKJ079,30
2,2023-01-01,OKJ047,35
2,2023-01-01,OKJ045,25
1,2023-01-01,OKJ028,8
25,2023-01-01,OKJ041,34
9,2023-01-01,OKJ023,5
16,2023-01-01,OKJ046,22
16,2023-01-02,OKJ059,2
1,2023-01-02,OKJ009,24
10,2023-01-02,OKJ062,16
14,2023-01-02,OKJ027,29
2,2023-01-02,OKJ007,17
19,2023-01-02,OKJ057,17
2,2023-01-02,OKJ018,21
17,2023-01-02,OKJ008,25
7,2023-01-02,OKJ038,36
2,2023-01-02,OKJ074,39
1,2023-01-02,OKJ026,7
9,2023-01-02,OKJ023,22
2,2023-01-02,OKJ016,7
15,2023-01-02,OKJ055,4
8,2023-01-02,OKJ068,2
2,2023-01-02,OKJ047,24
19,2023-01-02,OKJ034,32
18,2023-01-02,OKJ052,14
6,2023-01-03,OKJ030,26
14,2023-01-03,OKJ011,18
3,2023-01-03,OKJ040,17
14,2023-01-03,OKJ078,9
15,2023-01-03,OKJ049,7
24,2023-01-03,OKJ079,3
9,2023-01-03,OKJ081,2
15,2023-01-03,OKJ015,26
21,2023-01-03,OKJ014,38
25,2023-01-03,OKJ041,38
15,2023-01-03,OKJ044,12
15,2023-01-03,OKJ049,28
7,2023-01-03,OKJ035,39
11,2023-01-03,OKJ078,34
5,2023-01-03,OKJ032,21
6,2023-01-03,OKJ052,1
1,2023-01-03,OKJ064,23
20,2023-01-03,OKJ022,11
3,2023-01-03,OKJ034,5
17,2023-01-03,OKJ008,23
15,2023-01-03,OKJ073,5
4,2023-01-03,OKJ059,35
23,2023-01-03,OKJ041,11
2,2023-01-03,OKJ025,23
15,2023-01-03,OKJ015,1
15,2023-01-03,OKJ044,33
6,2023-01-03,OKJ030,25
22,2023-01-03,OKJ065,10
13,2023-01-04,OKJ036,34
7,2023-01-04,OKJ066,4
20,2023-01-04,OKJ061,30
10,2023-01-04,OKJ031,13
13,2023-01-04,OKJ008,4
12,2023-01-04,OKJ003,21
3,2023-01-04,OKJ072,21
17,2023-01-04,OKJ008,27
2,2023-01-04,OKJ077,24
1,2023-01-04,OKJ028,19
22,2023-01-04,OKJ065,14
25,2023-01-04,OKJ041,33
19,2023-01-04,OKJ057,27
1,2023-01-04,OKJ028,35
8,2023-01-04,OKJ070,10
12,2023-01-04,OKJ063,31
12,2023-01-04,OKJ036,22
22,2023-01-04,OKJ069,30
24,2023-01-04,OKJ079,4
16,2023-01-04,OKJ059,33
7,2023-01-04,OKJ017,34
10,2023-01-04,OKJ024,24
2,2023-01-04,OKJ074,2
4,2023-01-04,OKJ056,32
19,2023-01-04,OKJ048,20
2,2023-01-04,OKJ074,11
9,2023-01-04,OKJ081,22
19,2023-01-04,OKJ048,34
1,2023-01-04,OKJ028,15
18,2023-01-05,OKJ060,18
1,2023-01-05,OKJ007,33
27,2023-01-05,OKJ002,23
15,2023-01-05,OKJ044,3
19,2023-01-05,OKJ057,12
13,2023-01-05,OKJ050,28
4,2023-01-05,OKJ083,13
2,2023-01-05,OKJ076,23
16,2023-01-05,OKJ035,30
10,2023-01-05,OKJ075,24
23,2023-01-05,OKJ004,15
11,2023-01-05,OKJ062,39
22,2023-01-05,OKJ072,37
7,2023-01-05,OKJ035,20
13,2023-01-05,OKJ050,29
4,2023-01-05,OKJ085,9
14,2023-01-05,OKJ003,27
8,2023-01-05,OKJ033,19
25,2023-01-05,OKJ041,5
2,2023-01-05,OKJ077,35
18,2023-01-05,OKJ060,33
19,2023-01-05,OKJ057,7
2,2023-01-05,OKJ016,32
21,2023-01-05,OKJ010,33
14,2023-01-05,OKJ027,26
10,2023-01-05,OKJ083,39
23,2023-01-05,OKJ041,23
8,2023-01-06,OKJ005,17
14,2023-01-06,OKJ056,31
7,2023-01-06,OKJ066,11
19,2023-01-06,OKJ057,13
14,2023-01-06,OKJ065,3
2,2023-01-06,OKJ007,29
2,2023-01-06,OKJ025,18
17,2023-01-06,OKJ008,15
2,2023-01-06,OKJ076,28
1,2023-01-06,OKJ025,21
2,2023-01-06,OKJ018,23
2,2023-01-06,OKJ018,24
25,2023-01-06,OKJ004,36
10,2023-01-06,OKJ031,26
1,2023-01-06,OKJ025,19
11,2023-01-06,OKJ078,37
3,2023-01-06,OKJ034,26
8,2023-01-06,OKJ005,34
19,2023-01-06,OKJ057,18
12,2023-01-06,OKJ003,2
1,2023-01-06,OKJ019,37
19,2023-01-06,OKJ048,24
6,2023-01-06,OKJ054,20
13,2023-01-06,OKJ073,24
3,2023-01-06,OKJ023,3
10,2023-01-06,OKJ083,24
25,2023-01-06,OKJ041,3
4,2023-01-06,OKJ082,11
10,2023-01-06,OKJ083,1
3,2023-01-06,OKJ014,3
27,2023-01-07,OKJ079,29
2,2023-01-07,OKJ077,21
4,2023-01-07,OKJ056,25
15,2023-01-07,OKJ073,37
2,2023-01-07,OKJ077,33
20,2023-01-07,OKJ022,16
6,2023-01-07,OKJ054,19
20,2023-01-07,OKJ040,2
15,2023-01-07,OKJ017,10
3,2023-01-07,OKJ072,3
22,2023-01-07,OKJ069,34
10,2023-01-07,OKJ075,38
7,2023-01-07,OKJ038,33
14,2023-01-07,OKJ027,18
13,2023-01-07,OKJ008,3
5,2023-01-07,OKJ027,15
2,2023-01-07,OKJ016,12
13,2023-01-07,OKJ036,38
13,2023-01-07,OKJ073,19
10,2023-01-07,OKJ013,37
9,2023-01-07,OKJ023,11
2,2023-01-07,OKJ018,1
6,2023-01-07,OKJ061,19
2,2023-01-07,OKJ074,36
4,2023-01-07,OKJ063,39
21,2023-01-07,OKJ010,16
2,2023-01-08,OKJ077,1
15,2023-01-08,OKJ044,21
15,2023-01-08,OKJ015,31
15,2023-01-08,OKJ073,15
16,2023-01-08,OKJ021,16
22,2023-01-08,OKJ024,33
1,2023-01-08,OKJ028,29
15,2023-01-08,OKJ073,34
1,2023-01-08,OKJ019,15
4,2023-01-08,OKJ056,37
14,2023-01-08,OKJ027,28
22,2023-01-08,OKJ013,3
2,2023-01-08,OKJ074,26
11,2023-01-08,OKJ044,26
12,2023-01-08,OKJ036,2
10,2023-01-08,OKJ024,1
2,2023-01-08,OKJ025,3
14,2023-01-08,OKJ027,3
6,2023-01-08,OKJ052,14
2,2023-01-08,OKJ016,33
14,2023-01-08,OKJ078,30
11,2023-01-08,OKJ005,9
13,2023-01-09,OKJ073,11
2,2023-01-09,OKJ045,9
10,2023-01-09,OKJ083,26
3,2023-01-09,OKJ023,36
1,2023-01-09,OKJ019,18
1,2023-01-09,OKJ025,24
17,2023-01-09,OKJ008,5
3,2023-01-09,OKJ069,35
4,2023-01-09,OKJ032,13
4,2023-01-09,OKJ053,23
17,2023-01-09,OKJ008,16
11,2023-01-09,OKJ005,6
10,2023-01-09,OKJ012,37
2,2023-01-09,OKJ074,18
16,2023-01-09,OKJ035,18
27,2023-01-09,OKJ079,19
1,2023-01-09,OKJ009,28
14,2023-01-09,OKJ027,36
19,2023-01-09,OKJ057,25
1,2023-01-09,OKJ007,5
2,2023-01-09,OKJ077,14
18,2023-01-09,OKJ052,14
16,2023-01-09,OKJ021,18
27,2023-01-09,OKJ079,5
21,2023-01-09,OKJ021,19
21,2023-01-10,OKJ054,11
10,2023-01-10,OKJ013,12
23,2023-01-10,OKJ041,15
12,2023-01-10,OKJ003,33
19,2023-01-10,OKJ034,11
1,2023-01-10,OKJ009,15
11,2023-01-10,OKJ080,22
27,2023-01-10,OKJ079,37
13,2023-01-10,OKJ008,17
12,2023-01-10,OKJ036,14
25,2023-01-10,OKJ002,30
9,2023-01-10,OKJ082,14
9,2023-01-10,OKJ082,13
21,2023-01-10,OKJ021,36
13,2023-01-10,OKJ050,28
2,2023-01-10,OKJ018,20
16,2023-01-10,OKJ035,2
7,2023-01-10,OKJ029,11
1,2023-01-10,OKJ019,26
2,2023-01-10,OKJ037,20
1,2023-01-10,OKJ009,30
12,2023-01-10,OKJ036,14
10,2023-01-10,OKJ062,5
22,2023-01-10,OKJ072,3
11,2023-01-11,OKJ062,21
7,2023-01-11,OKJ066,30
12,2023-01-11,OKJ050,11
12,2023-01-11,OKJ043,27
10,2023-01-11,OKJ012,3
21,2023-01-11,OKJ054,34
12,2023-01-11,OKJ043,10
13,2023-01-11,OKJ073,14
3,2023-01-11,OKJ040,11
4,2023-01-11,OKJ063,24
10,2023-01-11,OKJ024,5
3,2023-01-11,OKJ042,13
1,2023-01-11,OKJ026,2
3,2023-01-11,OKJ072,21
21,2023-01-11,OKJ014,19
18,2023-01-11,OKJ001,21
2,2023-01-11,OKJ016,5
2,2023-01-11,OKJ076,35
5,2023-01-11,OKJ053,10
20,2023-01-11,OKJ022,1
10,2023-01-11,OKJ013,16
3,2023-01-11,OKJ069,8
20,2023-01-11,OKJ040,12
3,2023-01-11,OKJ072,28
12,2023-01-11,OKJ063,15
18,2023-01-11,OKJ046,5
2,2023-01-11,OKJ064,10
13,2023-01-11,OKJ050,31
8,2023-01-11,OKJ011,18
16,2023-01-11,OKJ021,19
10,2023-01-11,OKJ031,34
10,2023-01-11,OKJ013,37
7,2023-01-11,OKJ038,29
